Ticker,Date/Time,Open,High,Low,Close,Volume(Unit),Net Buy Sell Foreign,Freq
^AORD,07/29/2020,6146.80,6174.20,6122.00,6128.00,1007786240.00,0.00,0.00
^BSESN,07/28/2020,38052.18,38554.72,37998.13,38492.95,15456.00,0.00,0.00
^FCHI,07/28/2020,4930.10,4950.01,4893.63,4928.94,0.00,0.00,0.00
^DJI,07/28/2020,26529.45,26556.84,26361.71,26379.28,362402080.00,0.00,0.00
^FTSE,07/28/2020,6104.88,6149.86,6083.65,6129.26,0.00,0.00,0.00
^GDAXI,07/28/2020,12886.23,12936.01,12746.46,12835.28,0.00,0.00,0.00
^GSPC,07/28/2020,3234.27,3243.72,3216.17,3218.44,2235534592.00,0.00,0.00
^HSI,07/29/2020,24718.00,24926.50,24667.00,24839.00,0.00,0.00,0.00
^IXIC,07/28/2020,10509.20,10523.64,10397.87,10402.09,3622904832.00,0.00,0.00
^JKAGRI,07/29/2020,1134.04,1156.27,1131.50,1154.81,206952704.00,-4680000000.00,0.00
^JKBIND,07/29/2020,750.51,752.45,739.01,751.64,1253944832.00,5849999872.00,0.00
^JKBISNIS27,07/29/2020,459.95,460.07,456.79,458.46,1023291520.00,-219561803776.00,0.00
^JKCONS,07/29/2020,1843.09,1873.98,1841.52,1871.59,622606656.00,10439999488.00,0.00
^JKDBX,07/29/2020,919.87,933.01,917.12,933.01,3476643328.00,-98981552128.00,0.00
^JKFINA,07/29/2020,1127.09,1127.32,1114.04,1119.55,1615846144.00,-114009997312.00,0.00
^JKIDX30,07/29/2020,436.71,436.97,433.22,433.90,1228101120.00,-156403777536.00,0.00
^JKII,07/29/2020,551.31,552.18,547.35,549.90,1065648704.00,-35725266944.00,0.00
^JKINFA,07/29/2020,896.85,904.27,893.89,897.98,3054779648.00,-173039992832.00,0.00
^JKINFOBANK15,07/29/2020,832.91,832.98,822.45,825.37,443134912.00,-98970591232.00,0.00
^JKINVESTOR33,07/29/2020,381.34,381.57,378.66,379.70,1064116096.00,-155749597184.00,0.00
^JKISSI,07/29/2020,149.31,149.54,148.67,149.25,6100883968.00,-132191166464.00,0.00
^JKKOMPAS100,07/29/2020,1027.02,1027.73,1019.89,1025.76,3309820672.00,-345268518912.00,0.00
^JKLQ45,07/29/2020,799.68,800.38,793.46,795.38,1988157952.00,-181676179456.00,0.00
^JKMBX,07/29/2020,1424.70,1425.53,1416.35,1421.27,7605970944.00,-276738310144.00,0.00
^JKMING,07/29/2020,1368.81,1381.05,1362.39,1372.33,908504896.00,-4350000128.00,0.00
^JKMISC,07/29/2020,925.51,933.26,908.92,913.18,217631632.00,-31829999616.00,0.00
^JKMNC36,07/29/2020,290.19,290.40,287.84,288.68,1490614656.00,-148106493952.00,0.00
^JKMNFG,07/29/2020,1215.01,1223.67,1208.53,1223.47,2094183040.00,0.00,0.00
^JKPEFINDO25,07/29/2020,266.08,269.61,265.72,267.46,695571008.00,-31753811968.00,0.00
^JKPROP,07/29/2020,303.63,306.01,299.69,299.69,1660888704.00,-5929999872.00,0.00
^JKSE,07/29/2020,5112.99,5117.35,5085.34,5111.11,11082614784.00,-372370014208.00,0.00
^JKSMINFRA18,07/29/2020,252.41,253.00,250.79,251.25,1025936512.00,-163310092288.00,0.00
^JKSRIKEHATI,07/29/2020,323.44,323.62,320.60,321.19,794138496.00,-143239086080.00,0.00
^JKTRAD,07/29/2020,623.99,626.64,621.66,623.25,1541459200.00,-54829998080.00,0.00
^KLSE,07/29/2020,1610.13,1618.01,1589.98,1610.42,87221504.00,0.00,0.00
^KS11,07/29/2020,2258.35,2276.79,2252.24,2263.16,885309.00,0.00,0.00
^N225,07/29/2020,22543.89,22584.87,22366.34,22397.11,0.00,0.00,0.00
^NZ50,07/29/2020,11578.27,11627.83,11570.35,11599.44,0.00,0.00,0.00
^SSEC,07/29/2020,3221.99,3294.55,3210.22,3294.55,324924.00,0.00,0.00
^STI,07/29/2020,2581.48,2586.16,2564.46,2579.74,0.00,0.00,0.00
^VIX,07/28/2020,24.86,26.94,24.55,25.44,0.00,0.00,0.00
AALI,07/29/2020,9400.00,9700.00,9300.00,9700.00,4891100.00,2030000000.00,3477.00
ABBA,07/29/2020,50.00,50.00,50.00,50.00,303500.00,0.00,33.00
ABDA,07/29/2020,0.00,7025.00,7025.00,7025.00,0.00,0.00,0.00
ABMM,07/29/2020,1125.00,1125.00,1065.00,1075.00,1500.00,0.00,7.00
ACES,07/29/2020,1695.00,1815.00,1690.00,1740.00,19265400.00,-2540000000.00,5939.00
ACST,07/29/2020,288.00,290.00,282.00,282.00,1781100.00,0.00,169.00
ADAUSD,07/28/2020,0.14,0.15,0.13,0.15,1180000000.00,0.00,0.00
ADES,07/29/2020,900.00,1050.00,890.00,1000.00,829100.00,381500.00,485.00
ADHI,07/29/2020,630.00,645.00,620.00,630.00,11514900.00,-90760000.00,1216.00
ADMF,07/29/2020,8000.00,8025.00,7950.00,7975.00,118700.00,-145780000.00,237.00
AGAR,07/29/2020,510.00,510.00,510.00,510.00,100.00,0.00,1.00
ADMG,07/29/2020,116.00,134.00,116.00,123.00,5632500.00,0.00,650.00
ADRO,07/29/2020,1085.00,1095.00,1070.00,1085.00,32109100.00,3289999872.00,5519.00
AGII,07/29/2020,555.00,565.00,540.00,545.00,208700.00,5770000.00,45.00
AGRS,07/29/2020,173.00,176.00,161.00,161.00,340700.00,0.00,85.00
AGRO,07/29/2020,262.00,264.00,240.00,240.00,112999296.00,-166370000.00,7274.00
AHAP,07/29/2020,51.00,59.00,51.00,54.00,1327700.00,0.00,228.00
AIMS,07/29/2020,180.00,180.00,180.00,180.00,0.00,0.00,0.00
AISA,07/29/2020,168.00,168.00,168.00,168.00,0.00,0.00,0.00
AKKU,07/29/2020,50.00,50.00,50.00,50.00,400.00,0.00,2.00
AKPI,07/29/2020,282.00,286.00,280.00,286.00,5700.00,0.00,5.00
AKRA,07/29/2020,2800.00,2890.00,2800.00,2850.00,18767800.00,2329999872.00,2976.00
AKSI,07/29/2020,163.00,216.00,161.00,216.00,337100.00,0.00,249.00
ALDO,07/29/2020,398.00,398.00,398.00,398.00,0.00,0.00,0.00
ALKA,07/29/2020,376.00,376.00,376.00,376.00,1200.00,0.00,2.00
ALMI,07/29/2020,214.00,214.00,214.00,214.00,26800.00,0.00,5.00
ALTO,07/29/2020,342.00,342.00,342.00,342.00,2000.00,0.00,1.00
AMAN,07/29/2020,196.00,196.00,195.00,195.00,174400.00,0.00,7.00
AMAG,07/29/2020,266.00,266.00,266.00,266.00,830500.00,133640000.00,59.00
AMAR,07/29/2020,434.00,484.00,376.00,376.00,2046800.00,0.00,480.00
AMIN,07/29/2020,250.00,250.00,250.00,250.00,900.00,0.00,3.00
AMFG,07/29/2020,2860.00,2860.00,2860.00,2860.00,0.00,0.00,0.00
AMOR,07/29/2020,1995.00,1995.00,1970.00,1985.00,27800.00,-997500.00,18.00
AMRT,07/29/2020,750.00,750.00,740.00,745.00,98500.00,-56410000.00,50.00
ANDI,07/29/2020,50.00,50.00,50.00,50.00,384800.00,5000.00,18.00
ANJT,07/29/2020,585.00,585.00,585.00,585.00,2000.00,-1050000.00,4.00
ANSUSD,07/28/2020,11.63,12.03,11.32,11.74,6890000.00,0.00,0.00
ANTM,07/29/2020,720.00,740.00,710.00,730.00,79691504.00,4289999872.00,6422.00
APEX,07/29/2020,154.00,179.00,154.00,165.00,82800.00,0.00,28.00
APIC,07/29/2020,825.00,850.00,825.00,835.00,25403000.00,-156470000.00,2654.00
APII,07/29/2020,220.00,236.00,220.00,232.00,41600.00,0.00,38.00
APLI,07/29/2020,127.00,127.00,120.00,122.00,25500.00,0.00,11.00
APLN,07/29/2020,118.00,119.00,117.00,118.00,6297700.00,-68220000.00,395.00
APOL,07/29/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00
ARGO,07/29/2020,1200.00,1495.00,1200.00,1490.00,1000.00,0.00,3.00
ARII,07/29/2020,515.00,515.00,468.00,500.00,9100.00,0.00,12.00
ARKA,07/29/2020,288.00,288.00,288.00,288.00,0.00,0.00,0.00
ARMY,07/29/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00
ARNA,07/29/2020,420.00,424.00,418.00,424.00,629800.00,-120830000.00,62.00
ARTA,07/29/2020,308.00,308.00,308.00,308.00,0.00,0.00,0.00
ARTO,07/29/2020,2780.00,2800.00,2750.00,2770.00,109100.00,0.00,52.00
ARTI,07/29/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00
ASBI,07/29/2020,300.00,300.00,300.00,300.00,300.00,0.00,1.00
ASDM,07/29/2020,930.00,930.00,930.00,930.00,2800.00,0.00,1.00
ASGR,07/29/2020,670.00,705.00,665.00,670.00,1165800.00,-340049984.00,423.00
ASII,07/29/2020,5175.00,5225.00,5050.00,5075.00,32010100.00,-31829999616.00,6188.00
ASJT,07/29/2020,124.00,124.00,115.00,115.00,2400.00,0.00,9.00
ASMI,07/29/2020,1155.00,1160.00,1150.00,1155.00,25700.00,0.00,27.00
ASPI,07/29/2020,230.00,256.00,230.00,256.00,32576600.00,13310000.00,3182.00
ASRI,07/29/2020,128.00,130.00,126.00,126.00,33728100.00,-1450000000.00,1151.00
ASRM,07/29/2020,1990.00,1990.00,1990.00,1990.00,700.00,0.00,1.00
ASSA,07/29/2020,525.00,525.00,510.00,520.00,4993600.00,-111950000.00,391.00
ATIC,07/29/2020,690.00,690.00,655.00,655.00,2100.00,0.00,4.00
ATPK,07/29/2020,194.00,194.00,194.00,194.00,0.00,0.00,0.00
AUDUSD,07/28/2020,0.72,0.72,0.71,0.72,0.00,0.00,0.00
AYLS,07/29/2020,50.00,50.00,50.00,50.00,1100.00,0.00,2.00
AUTO,07/29/2020,890.00,900.00,865.00,865.00,4622700.00,-1740000000.00,1023.00
BABP,07/29/2020,50.00,50.00,50.00,50.00,2300.00,0.00,5.00
BABP-W3,07/29/2020,18.00,18.00,18.00,18.00,0.00,0.00,0.00
BACA,07/29/2020,290.00,338.00,290.00,338.00,81500.00,-1630000.00,49.00
BAJA,07/29/2020,51.00,56.00,51.00,55.00,1233000.00,0.00,108.00
BALI,07/29/2020,850.00,850.00,850.00,850.00,0.00,0.00,0.00
BAPI,07/29/2020,50.00,50.00,50.00,50.00,3000.00,0.00,4.00
BAPA,07/29/2020,50.00,50.00,50.00,50.00,1000.00,0.00,1.00
BATA,07/29/2020,575.00,575.00,570.00,570.00,1200.00,0.00,6.00
BAYU,07/29/2020,1020.00,1020.00,1020.00,1020.00,300.00,0.00,3.00
BBCA,07/29/2020,30925.00,30925.00,30500.00,30675.00,10052500.00,-20700000256.00,9573.00
BBHI,07/29/2020,126.00,137.00,126.00,133.00,109600.00,0.00,27.00
BBKP,07/29/2020,183.00,183.00,178.00,179.00,34052000.00,56330000.00,1326.00
BBMD,07/29/2020,1460.00,1460.00,1460.00,1460.00,0.00,0.00,0.00
BBLD,07/29/2020,382.00,382.00,382.00,382.00,0.00,0.00,0.00
BBNI,07/29/2020,4660.00,4660.00,4580.00,4590.00,64032700.00,-34659999744.00,14721.00
BBNP,07/29/2020,2250.00,2250.00,2250.00,2250.00,0.00,0.00,0.00
BBRI,07/29/2020,3140.00,3150.00,3100.00,3120.00,67176704.00,-12060000256.00,8282.00
BBSS,07/29/2020,131.00,131.00,122.00,129.00,6002800.00,0.00,2032.00
BBRM,07/29/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00
BBTN,07/29/2020,1265.00,1290.00,1260.00,1285.00,31477200.00,-637129984.00,2709.00
BBYB,07/29/2020,300.00,300.00,300.00,300.00,297100.00,-45000000.00,11.00
BCAP,07/29/2020,154.00,154.00,148.00,150.00,1389900.00,104180000.00,205.00
BCHUSD,07/28/2020,268.52,297.02,264.99,289.06,2700000.00,0.00,0.00
BCIC,07/29/2020,700.00,700.00,700.00,700.00,100.00,0.00,1.00
BCIP,07/29/2020,50.00,50.00,50.00,50.00,16000.00,0.00,4.00
BEEF,07/29/2020,210.00,212.00,206.00,208.00,1568500.00,0.00,268.00
BDMN,07/29/2020,2770.00,2790.00,2740.00,2740.00,1006300.00,-182720000.00,364.00
BEEF-W,07/29/2020,14.00,14.00,13.00,13.00,3630500.00,0.00,0.00
BELL,07/29/2020,735.00,745.00,735.00,735.00,1134300.00,0.00,249.00
BESS,07/29/2020,262.00,262.00,246.00,256.00,1311200.00,0.00,741.00
BEKS,07/29/2020,50.00,50.00,50.00,50.00,54900.00,0.00,9.00
BEST,07/29/2020,128.00,129.00,125.00,125.00,27714600.00,-104260000.00,887.00
BGTG,07/29/2020,51.00,52.00,50.00,51.00,2756800.00,0.00,82.00
BFIN,07/29/2020,278.00,278.00,270.00,274.00,3795800.00,184110000.00,359.00
BHAT,07/29/2020,440.00,444.00,436.00,440.00,125797800.00,0.00,2061.00
BIKA,07/29/2020,169.00,190.00,169.00,189.00,2600.00,0.00,6.00
BHIT,07/29/2020,50.00,50.00,50.00,50.00,2000.00,0.00,3.00
BIMA,07/29/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00
BINA,07/29/2020,845.00,845.00,820.00,845.00,2982600.00,0.00,148.00
BIPI,07/29/2020,50.00,50.00,50.00,50.00,2300.00,0.00,3.00
BIPP,07/29/2020,59.00,61.00,59.00,61.00,2400.00,0.00,6.00
BIRD,07/29/2020,1140.00,1150.00,1105.00,1125.00,673500.00,-115930000.00,287.00
BISI,07/29/2020,815.00,815.00,810.00,815.00,289900.00,0.00,42.00
BJBR,07/29/2020,960.00,1000.00,955.00,965.00,22393800.00,-522289984.00,2655.00
BJTM,07/29/2020,560.00,570.00,550.00,555.00,23354800.00,1730000000.00,2671.00
BKDP,07/29/2020,57.00,57.00,50.00,50.00,51000.00,0.00,8.00
BKSL,07/29/2020,50.00,50.00,50.00,50.00,130400.00,0.00,21.00
BKSL-W,07/29/2020,2.00,2.00,2.00,2.00,0.00,0.00,0.00
BKSW,07/29/2020,82.00,82.00,74.00,76.00,34700.00,0.00,10.00
BLTZ,07/29/2020,3600.00,3600.00,3600.00,3600.00,0.00,0.00,0.00
BLUE,07/29/2020,520.00,520.00,505.00,510.00,166400.00,0.00,115.00
BLTA,07/29/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00
BMAS,07/29/2020,250.00,268.00,250.00,268.00,800.00,0.00,3.00
BMRI,07/29/2020,5850.00,5850.00,5675.00,5700.00,34868600.00,-31740000256.00,7611.00
BMSR,07/29/2020,66.00,66.00,53.00,53.00,3300.00,0.00,11.00
BMTR,07/29/2020,214.00,226.00,212.00,222.00,46824800.00,16040000.00,1780.00
BNBA,07/29/2020,302.00,304.00,300.00,304.00,179500.00,-7180000.00,11.00
BNBR,07/29/2020,50.00,50.00,50.00,50.00,20100.00,0.00,3.00
BNGA,07/29/2020,780.00,790.00,775.00,780.00,1956000.00,-1090000.00,456.00
BNII,07/29/2020,212.00,212.00,212.00,212.00,1033500.00,0.00,151.00
BOGA,07/29/2020,1360.00,1405.00,1360.00,1400.00,87811904.00,8529999872.00,4587.00
BNLI,07/29/2020,1270.00,1270.00,1245.00,1265.00,17195400.00,1620000000.00,700.00
BOGA-W,07/29/2020,1000.00,1000.00,1000.00,1000.00,0.00,0.00,0.00
BOLA,07/29/2020,175.00,175.00,160.00,164.00,2700.00,0.00,14.00
BOLT,07/29/2020,865.00,865.00,865.00,865.00,100.00,0.00,1.00
BORN,07/29/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00
BOSS,07/29/2020,78.00,85.00,78.00,80.00,7125300.00,1800000.00,510.00
BPFI,07/29/2020,1280.00,1280.00,1280.00,1280.00,0.00,0.00,0.00
BPII,07/29/2020,10000.00,10000.00,10000.00,10000.00,0.00,0.00,0.00
BPTR,07/29/2020,75.00,75.00,75.00,75.00,400.00,0.00,3.00
BRAM,07/29/2020,5325.00,5325.00,5325.00,5325.00,0.00,0.00,0.00
BRIS,07/29/2020,595.00,615.00,550.00,550.00,387849408.00,-3529999872.00,32095.00
BRENT OIL,07/28/2020,44.05,44.33,43.41,43.66,0.00,0.00,0.00
BRMS,07/29/2020,50.00,50.00,50.00,50.00,99300.00,0.00,23.00
BRNA,07/29/2020,930.00,930.00,930.00,930.00,270100.00,0.00,5.00
BRPT,07/29/2020,1010.00,1030.00,950.00,950.00,57125700.00,-12720000000.00,4932.00
BSDE,07/29/2020,775.00,775.00,715.00,715.00,21212100.00,-390980000.00,1595.00
BSIM,07/29/2020,515.00,515.00,515.00,515.00,200.00,0.00,2.00
BSIM-W3,07/29/2020,22.00,22.00,22.00,22.00,0.00,0.00,0.00
BSSR,07/29/2020,1300.00,1335.00,1300.00,1335.00,3800.00,0.00,10.00
BSWD,07/29/2020,1750.00,1750.00,1750.00,1750.00,0.00,0.00,0.00
BTCIDR,07/28/2020,161871008.00,161871008.00,159020000.00,159020000.00,600.00,0.00,0.00
BTCUSD,07/28/2020,10961.10,11046.10,10873.60,10908.50,658370.00,0.00,0.00
BTEK,07/29/2020,50.00,50.00,50.00,50.00,500.00,0.00,2.00
BTEL,07/29/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00
BTON,07/29/2020,181.00,191.00,181.00,188.00,4600.00,0.00,11.00
BTPS,07/29/2020,3240.00,3530.00,3200.00,3430.00,52035200.00,-12160000000.00,14998.00
BTPN,07/29/2020,2200.00,2300.00,2200.00,2280.00,345000.00,-13000000.00,213.00
BUDI,07/29/2020,91.00,93.00,90.00,91.00,420300.00,0.00,40.00
BUKK,07/29/2020,700.00,705.00,660.00,665.00,96600.00,0.00,56.00
BULL,07/29/2020,318.00,324.00,312.00,320.00,146742208.00,119300000.00,4274.00
BULL-W,07/29/2020,35.00,35.00,35.00,35.00,0.00,0.00,0.00
BULL-W2,07/29/2020,104.00,104.00,98.00,102.00,2427500.00,0.00,0.00
BUMI,07/29/2020,50.00,50.00,50.00,50.00,437600.00,10010000.00,70.00
BUVA,07/29/2020,53.00,56.00,53.00,53.00,80300.00,0.00,24.00
BVIC,07/29/2020,62.00,65.00,61.00,63.00,1814800.00,1870000.00,214.00
BWPT,07/29/2020,114.00,122.00,112.00,121.00,142103600.00,-39070000.00,8282.00
BYAN,07/29/2020,13600.00,13700.00,13075.00,13075.00,800.00,-2620000.00,6.00
CAKK,07/29/2020,50.00,50.00,50.00,50.00,81300.00,0.00,5.00
CAKK-W,07/29/2020,5.00,8.00,5.00,6.00,941500.00,0.00,0.00
CAMP,07/29/2020,204.00,208.00,200.00,204.00,552300.00,0.00,83.00
CARE,07/29/2020,340.00,350.00,336.00,338.00,246076304.00,0.00,3124.00
CANI,07/29/2020,124.00,124.00,124.00,124.00,0.00,0.00,0.00
CARS,07/29/2020,50.00,50.00,50.00,50.00,35500.00,0.00,12.00
CASA,07/29/2020,272.00,332.00,270.00,332.00,8130000.00,-6260000.00,99.00
CASA-W,07/29/2020,96.00,96.00,36.00,36.00,200.00,0.00,0.00
CASH,07/29/2020,560.00,585.00,555.00,585.00,6249400.00,-90000.00,1138.00
CBMF,07/29/2020,224.00,224.00,192.00,200.00,5600800.00,0.00,196.00
CASS,07/29/2020,204.00,224.00,204.00,216.00,10350600.00,95040000.00,1201.00
CCSI,07/29/2020,254.00,254.00,246.00,246.00,320200.00,0.00,100.00
CEKA,07/29/2020,1925.00,1930.00,1800.00,1900.00,230800.00,-34950000.00,288.00
CENT,07/29/2020,111.00,121.00,110.00,114.00,41065800.00,20360000.00,1415.00
CINT,07/29/2020,254.00,258.00,254.00,258.00,26200.00,0.00,9.00
CFIN,07/29/2020,191.00,195.00,190.00,190.00,799300.00,-100180000.00,94.00
CITA,07/29/2020,1895.00,2000.00,1895.00,2000.00,12200.00,0.00,7.00
CITY,07/29/2020,55.00,55.00,53.00,55.00,101400.00,0.00,16.00
CITY-W,07/29/2020,15.00,16.00,13.00,14.00,51500.00,0.00,0.00
CLAY,07/29/2020,1960.00,2100.00,1960.00,2080.00,3100.00,-196000.00,14.00
CKRA,07/29/2020,76.00,76.00,76.00,76.00,0.00,0.00,0.00
CLEO,07/29/2020,460.00,565.00,458.00,525.00,117220200.00,118320000.00,14573.00
CLPI,07/29/2020,705.00,715.00,685.00,700.00,158700.00,7860000.00,80.00
CMNP,07/29/2020,1120.00,1180.00,1040.00,1050.00,164500.00,277500.00,80.00
CMPP,07/29/2020,184.00,184.00,184.00,184.00,0.00,0.00,0.00
CNKO,07/29/2020,50.00,50.00,50.00,50.00,1500.00,0.00,1.00
CNTB,07/29/2020,250.00,250.00,250.00,250.00,0.00,0.00,0.00
CNTX,07/29/2020,250.00,250.00,246.00,248.00,7700.00,0.00,3.00
CNYIDR,07/28/2020,2075.35,2079.77,2066.85,2076.19,0.00,0.00,0.00
COAL,07/28/2020,53.50,53.50,53.50,53.50,0.00,0.00,0.00
COCO,07/29/2020,810.00,810.00,810.00,810.00,0.00,0.00,0.00
COCO-W,07/29/2020,320.00,320.00,320.00,320.00,0.00,0.00,0.00
COWL,07/29/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00
CPIN,07/29/2020,6200.00,6250.00,6125.00,6200.00,5735800.00,18219999232.00,3340.00
CPO-RM,07/29/2020,2634.00,2634.00,2634.00,2634.00,0.00,0.00,0.00
CPRI,07/29/2020,50.00,50.00,50.00,50.00,4000.00,0.00,1.00
CPRI-W,07/29/2020,14.00,14.00,13.00,14.00,120500.00,0.00,0.00
CPRO,07/29/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00
CRUDE OIL,07/28/2020,41.72,41.93,40.86,41.13,0.00,0.00,0.00
CSAP,07/29/2020,318.00,324.00,318.00,324.00,1200.00,64800.00,2.00
CSIS,07/29/2020,50.00,56.00,50.00,51.00,5387600.00,0.00,1334.00
CSMI,07/29/2020,226.00,226.00,204.00,204.00,14200.00,0.00,5.00
CSRA,07/29/2020,292.00,318.00,292.00,306.00,2279700.00,0.00,396.00
CTBN,07/29/2020,2450.00,2450.00,2450.00,2450.00,0.00,0.00,0.00
CTRA,07/29/2020,670.00,675.00,650.00,655.00,51575700.00,4780000256.00,2476.00
DADA,07/29/2020,83.00,87.00,81.00,82.00,93587600.00,3900000.00,3060.00
CTTH,07/29/2020,50.00,50.00,50.00,50.00,3200.00,0.00,1.00
DAJK,07/29/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00
DAYA,07/29/2020,610.00,610.00,610.00,610.00,0.00,0.00,0.00
DEAL,07/29/2020,88.00,89.00,87.00,88.00,3705100.00,-66880000.00,244.00
DART,07/29/2020,226.00,226.00,226.00,226.00,0.00,0.00,0.00
DEFI,07/29/2020,1785.00,1795.00,1780.00,1785.00,34200.00,0.00,36.00
DFAM,07/29/2020,346.00,346.00,346.00,346.00,0.00,0.00,0.00
DEWA,07/29/2020,50.00,50.00,50.00,50.00,100.00,0.00,1.00
DGIK,07/29/2020,50.00,50.00,50.00,50.00,100.00,0.00,1.00
DIGI,07/29/2020,1775.00,1775.00,1775.00,1775.00,0.00,0.00,0.00
DIVA,07/29/2020,2130.00,2220.00,2110.00,2110.00,220600.00,53230000.00,225.00
DILD,07/29/2020,180.00,180.00,177.00,178.00,3022900.00,-14070000.00,178.00
DKFT,07/29/2020,132.00,134.00,129.00,129.00,5732800.00,13400000.00,468.00
DMMX,07/29/2020,232.00,238.00,224.00,238.00,23295500.00,2350000128.00,632.00
DLTA,07/29/2020,4800.00,4810.00,4800.00,4800.00,22000.00,-94570000.00,43.00
DMAS,07/29/2020,240.00,242.00,232.00,234.00,44768000.00,-2620000000.00,1833.00
DMND,07/29/2020,935.00,950.00,930.00,950.00,31500.00,-467500.00,47.00
DNAR,07/29/2020,272.00,272.00,254.00,254.00,128000.00,0.00,7.00
DNET,07/29/2020,3380.00,3380.00,3380.00,3380.00,400.00,0.00,3.00
